SCIPER,ROOM,IDINROOM
238038,INF 1,34
242532,CO 1,47
260389,CO 1,60
264015,INF 1,13
265615,CO 1,111
271837,CO 1,4
275503,CO 1,99
281885,CO 1,104
289080,CO 1,15
289207,INF 1,3
296098,CO 1,69
296169,INF 1,20
296729,INF 2,39
296782,CO 1,61
297111,INF 2,13
298689,INF 2,27
299489,INF 1,6
300325,INF 2,5
300570,CO 1,108
300882,CO 1,43
301062,INF 2,15
301317,CO 1,116
301650,CO 1,5
301681,INF 1,7
301995,CO 1,71
302186,INF 1,47
302446,INF 1,51
302505,CO 1,88
302560,CO 1,65
307877,INF 2,42
309994,INF 1,17
310041,INF 2,46
310052,INF 1,60
310068,CO 1,18
310095,CO 1,23
310108,INF 2,1
310274,CO 1,6
310298,CO 1,13
310427,CO 1,125
310502,CO 1,34
310668,INF 2,34
310698,CO 1,42
310713,INF 2,45
310725,CO 1,56
310755,INF 2,57
310766,CO 1,38
310781,INF 2,58
310821,CO 1,80
310824,INF 1,23
310890,CO 1,59
310917,CO 1,25
311055,CO 1,35
311258,CO 1,140
311259,INF 2,18
311475,INF 2,7
311480,INF 2,53
311528,INF 1,12
311751,CO 1,130
311768,CO 1,1
312107,INF 1,8
312119,CO 1,118
312275,CO 1,67
312276,CO 1,138
312360,CO 1,16
312533,CO 1,84
312589,CO 1,32
312622,CO 1,90
312711,CO 1,83
312734,INF 2,62
312752,INF 1,61
312859,CO 1,31
312905,INF 1,29
312916,INF 1,46
312917,CO 1,139
313191,INF 1,49
313206,CO 1,10
313215,CO 1,17
313234,CO 1,94
313238,CO 1,112
313240,CO 1,53
313336,INF 1,26
313364,INF 1,16
313369,CO 1,3
313830,CO 1,117
314316,CO 1,102
314355,INF 2,9
314357,CO 1,103
314363,INF 1,32
314372,CO 1,96
314412,CO 1,50
314517,CO 1,131
314540,CO 1,77
314544,INF 1,1
314770,CO 1,33
314932,INF 2,4
314947,CO 1,7
314994,INF 1,38
315031,INF 1,41
315131,INF 2,14
315202,INF 2,32
315213,CO 1,79
315337,INF 1,50
315349,CO 1,137
315363,CO 1,86
315429,CO 1,126
315644,INF 2,54
315666,CO 1,64
315707,CO 1,70
315751,CO 1,27
315789,INF 2,3
315805,INF 2,55
315822,CO 1,134
316129,CO 1,73
316383,INF 2,28
316447,INF 1,56
316482,INF 2,61
316555,CO 1,105
316641,INF 1,5
316766,CO 1,97
320195,CO 1,52
324074,INF 2,11
324214,INF 2,10
324253,CO 1,68
324268,INF 2,48
324363,INF 2,47
324402,INF 1,39
324406,CO 1,115
324420,CO 1,39
324448,INF 2,21
324456,CO 1,93
324479,INF 2,30
324509,INF 1,21
324604,CO 1,78
324610,INF 1,10
324622,CO 1,28
324665,CO 1,120
324694,CO 1,21
324748,CO 1,24
324855,INF 1,55
324875,CO 1,29
324915,CO 1,107
324932,INF 2,44
324944,INF 2,19
325035,INF 2,43
325084,INF 1,37
325090,CO 1,85
325174,INF 1,9
325180,CO 1,128
325186,CO 1,37
325205,INF 2,6
325279,CO 1,75
325341,CO 1,20
325374,INF 2,40
325375,CO 1,19
325395,INF 2,22
325403,CO 1,62
325510,CO 1,127
325529,INF 1,53
325664,CO 1,11
325708,CO 1,30
325734,INF 2,29
325736,INF 2,26
325758,INF 2,60
325765,INF 1,35
325917,CO 1,91
325969,INF 1,18
326051,CO 1,55
326153,CO 1,26
326177,INF 2,37
326295,INF 1,11
326324,CO 1,63
326410,INF 1,62
326423,CO 1,110
326432,INF 1,36
326450,CO 1,98
326464,CO 1,45
326580,INF 2,33
326601,INF 2,24
326603,INF 1,54
326608,CO 1,95
326615,INF 2,36
326617,CO 1,46
326634,INF 2,25
326678,INF 2,20
326801,CO 1,9
326846,INF 2,49
326912,INF 1,22
326913,CO 1,87
326940,INF 1,43
326960,CO 1,2
327033,INF 2,56
327059,CO 1,36
327085,CO 1,121
327224,CO 1,135
327230,INF 1,59
327282,CO 1,114
327327,CO 1,22
327345,INF 2,41
327503,CO 1,100
327529,INF 1,40
327577,INF 1,2
327579,CO 1,58
327668,INF 2,59
327830,CO 1,74
328055,INF 2,50
328086,INF 1,4
328105,INF 1,57
328129,CO 1,8
328132,CO 1,49
328387,INF 2,12
328401,INF 1,45
328453,CO 1,133
328523,INF 2,52
328777,INF 1,25
329197,INF 1,15
329307,CO 1,12
329346,CO 1,136
329500,CO 1,129
329516,INF 1,24
329571,CO 1,76
329597,INF 1,31
329619,INF 1,42
329637,INF 2,38
329651,INF 1,33
329672,CO 1,44
329797,CO 1,14
329806,CO 1,57
329847,CO 1,92
329880,CO 1,54
329905,CO 1,132
329912,CO 1,106
329953,CO 1,41
329977,INF 1,19
329978,INF 1,44
330163,INF 2,35
330275,CO 1,123
330298,INF 1,14
330316,CO 1,66
330361,INF 2,16
330382,INF 2,8
330383,INF 1,30
330564,CO 1,122
330682,INF 2,51
330757,CO 1,48
330818,CO 1,113
337347,INF 2,31
341453,CO 1,51
341911,INF 1,48
342296,INF 2,23
344883,CO 1,40
346110,INF 1,58
349182,CO 1,81
349231,CO 1,101
349286,CO 1,89
349290,CO 1,82
349310,INF 2,17
350464,CO 1,119
350467,INF 1,28
350499,INF 1,52
350606,CO 1,124
350622,INF 1,27
350642,CO 1,109
351003,INF 2,2
351364,CO 1,72
